"","datetime","ValidID","Forecast"
"18241",2019-02-27 15:15:00,5327,38.3546142578125
"18289",2019-02-27 15:15:00,5330,38.4115257263184
"18283",2019-02-27 15:15:00,5331,38.4115257263184
"18297",2019-02-27 15:15:00,5332,38.4115257263184
"18291",2019-02-27 15:15:00,5333,38.4115257263184
"18310",2019-02-27 15:15:00,5334,40.3897399902344
"18307",2019-02-27 15:15:00,5335,40.3897399902344
"18274",2019-02-27 15:15:00,5336,40.7242660522461
"18260",2019-02-27 15:15:00,5337,40.7242660522461
"18251",2019-02-27 15:15:00,5339,40.8849601745605
"18246",2019-02-27 15:15:00,5340,41.0682258605957
"18230",2019-02-27 15:15:00,5341,41.1228828430176
"18244",2019-02-27 15:15:00,5342,66.518928527832
"18292",2019-02-27 15:15:00,5343,66.5155563354492
"18245",2019-02-27 15:15:00,5344,66.5155563354492
"18236",2019-02-27 15:15:00,5345,66.5155563354492
"18239",2019-02-27 15:15:00,5346,66.5155563354492
"18237",2019-02-27 15:15:00,5353,66.5157318115234
"18282",2019-02-27 15:15:00,6811,66.5283279418945
"18278",2019-02-27 15:15:00,6812,66.5283279418945
"18268",2019-02-27 15:15:00,6813,66.5283279418945
"18308",2019-02-27 15:15:00,6831,66.5283279418945
"18228",2019-02-27 15:30:00,5324,38.3546142578125
"18276",2019-02-27 15:30:00,5325,38.3546142578125
"18255",2019-02-27 15:30:00,5327,38.3546142578125
"18290",2019-02-27 15:30:00,5330,38.4115257263184
"18284",2019-02-27 15:30:00,5331,38.4115257263184
"18298",2019-02-27 15:30:00,5332,38.4115257263184
"18279",2019-02-27 15:30:00,5333,38.4115257263184
"18304",2019-02-27 15:30:00,5334,40.3897399902344
"18300",2019-02-27 15:30:00,5335,40.3897399902344
"18261",2019-02-27 15:30:00,5336,40.7242660522461
"18247",2019-02-27 15:30:00,5337,40.7242660522461
"18221",2019-02-27 15:30:00,5339,40.8849601745605
"18234",2019-02-27 15:30:00,5340,41.0682258605957
"18222",2019-02-27 15:30:00,5341,41.1228828430176
"18235",2019-02-27 15:30:00,5342,66.518928527832
"18293",2019-02-27 15:30:00,5343,66.5155563354492
"18232",2019-02-27 15:30:00,5344,66.5155563354492
"18224",2019-02-27 15:30:00,5345,66.5155563354492
"18225",2019-02-27 15:30:00,5346,66.5155563354492
"18238",2019-02-27 15:30:00,5353,66.5157318115234
"18270",2019-02-27 15:30:00,6811,66.5283279418945
"18288",2019-02-27 15:30:00,6812,66.5283279418945
"18269",2019-02-27 15:30:00,6813,66.5283279418945
"18311",2019-02-27 15:30:00,6831,66.5283279418945
"18242",2019-02-27 15:45:00,5324,38.3546142578125
"18277",2019-02-27 15:45:00,5325,38.3546142578125
"18256",2019-02-27 15:45:00,5327,38.3546142578125
"18265",2019-02-27 15:45:00,5330,38.4115257263184
"18285",2019-02-27 15:45:00,5331,38.4115257263184
"18299",2019-02-27 15:45:00,5332,38.4115257263184
"18280",2019-02-27 15:45:00,5333,38.4115257263184
"18305",2019-02-27 15:45:00,5334,40.3897399902344
"18266",2019-02-27 15:45:00,5335,40.3897399902344
"18275",2019-02-27 15:45:00,5336,40.7242660522461
"18248",2019-02-27 15:45:00,5337,40.7242660522461
"18219",2019-02-27 15:45:00,5339,40.8849601745605
"18220",2019-02-27 15:45:00,5340,41.0682258605957
"18223",2019-02-27 15:45:00,5341,41.1228828430176
"18227",2019-02-27 15:45:00,5342,66.518928527832
"18294",2019-02-27 15:45:00,5343,66.5155563354492
"18233",2019-02-27 15:45:00,5344,66.5155563354492
"18229",2019-02-27 15:45:00,5345,66.5155563354492
"18218",2019-02-27 15:45:00,5346,66.5155563354492
"18217",2019-02-27 15:45:00,5353,66.5157318115234
"18271",2019-02-27 15:45:00,6811,66.5283279418945
"18263",2019-02-27 15:45:00,6812,66.5283279418945
"18257",2019-02-27 15:45:00,6813,66.5283279418945
"18312",2019-02-27 15:45:00,6831,66.5283279418945
"18360",2019-02-27 16:00:00,5324,38.3546142578125
"18397",2019-02-27 16:00:00,5325,38.3546142578125
"18335",2019-02-27 16:00:00,5327,38.3546142578125
"18406",2019-02-27 16:00:00,5330,38.4115257263184
"18377",2019-02-27 16:00:00,5331,38.4115257263184
"18400",2019-02-27 16:00:00,5332,38.4115257263184
"18404",2019-02-27 16:00:00,5333,38.4115257263184
"18405",2019-02-27 16:00:00,5334,40.3897399902344
"18388",2019-02-27 16:00:00,5335,40.3897399902344
"18383",2019-02-27 16:00:00,5336,40.7242660522461
"18369",2019-02-27 16:00:00,5337,40.7242660522461
"18345",2019-02-27 16:00:00,5339,40.8849601745605
"18354",2019-02-27 16:00:00,5340,41.0682258605957
"18359",2019-02-27 16:00:00,5341,41.1228828430176
"18367",2019-02-27 16:00:00,5342,66.518928527832
"18387",2019-02-27 16:00:00,5343,66.5155563354492
